l_id,longitude,latitude
227,-87.689018,41.965179
228,-87.659125,41.972194
779,-87.639999,41.900002
0,-87.653755,41.889023
1087,-87.619919,41.858498
1137,-87.67662,41.90351
1458,-87.649195,41.885049
1574,-87.638184,41.908989
2417,-87.643845,41.921913
2418,-87.706753,41.927959
2959,-87.668343,41.978191
3230,-87.650002,41.919998
3518,-87.639595,41.8793
3519,-87.6394,41.903763
4331,-87.699097,41.975826
4385,-87.668267,41.977952
4738,-87.666229,42.009243
5,-87.650002,41.939999
6,-87.66501,41.896103
7,-87.699997,41.919998
8,-87.669998,41.900002
9,-87.669998,41.900002
10,-87.699997,41.939999
12,-87.657555,41.91669
13,-87.699997,41.919998
14,-87.650002,41.919998
11,-87.650002,41.919998
15,-87.669998,41.849998
16,-87.650002,41.939999
17,-87.66162,41.947105
18,-87.75,41.939999
19,-87.69377,41.966354
20,-87.669998,41.970001
21,-87.650002,41.939999
22,-87.63252,41.889183
23,-87.650002,41.919998
25,-87.629997,41.84
27,-87.699997,41.970001
28,-87.629997,41.84
29,-87.669998,41.900002
30,-87.68277,41.90131
31,-87.650002,41.939999
32,-87.669998,41.900002
33,-87.690002,41.880001
34,-87.650002,41.939999
35,-87.625145,41.897694
36,-87.660004,41.959999
37,-87.629997,41.869999
38,-87.760002,41.970001
39,-87.66501,41.896103
40,-87.639999,41.900002
24,-87.628746,41.897739
26,-87.669998,41.900002
41,-87.630135,41.905666
42,-87.66373,41.927147
43,-87.687454,41.967407
44,-87.75,41.939999
45,-87.633783,41.853353
46,-87.75,41.939999
47,-87.639999,41.900002
48,-87.660534,41.995613
49,-87.62787,41.883495
50,-87.709999,42.009998
51,-87.660004,41.990002
52,-87.699997,41.939999
53,-87.639999,41.900002
54,-87.620003,41.880001
55,-87.620003,41.880001
56,-87.629997,41.889999
57,-87.669998,41.900002
59,-87.64863,41.884277
60,-87.699997,41.919998
61,-87.639999,41.900002
62,-87.63198,41.8518
63,-87.669998,41.970001
64,-87.679245,41.971348
65,-87.6933,41.956375
66,-87.63274,41.853863
67,-87.620003,41.889999
68,-87.63494,41.853783
69,-87.69455,41.91059
70,-87.62902,41.886814
71,-87.667786,41.91063
72,-87.69765,41.99038
73,-87.650002,41.939999
75,-87.625015,41.884495
76,-87.6258,41.865734
77,-87.606804,41.7512
78,-87.699997,41.919998
74,-87.65305,41.942913
79,-87.70743,41.929577
80,-87.656738,41.973133
81,-87.632523,41.889183
83,-87.62579,41.865524
84,-87.68093,41.895844
85,-87.699997,41.970001
82,-87.669998,41.970001
86,-87.669998,41.970001
